Rank,EWC,ENC,Country,Player,china,france,usa,brazil,greece,? #6,? #7,? #8,? #9,? #10,
70,,,Poland,Magorian0212,28(#37),10(#56),2(#63),,,,,,,,40
71,,,Germany,Mobbi._.,26(#40),14(#52),,,,,,,,,40
72,,,Germany,Goldennugg3t,,,,40(#29),,,,,,,40
73,,,France,Richie1308,,,30(#36),,8(#58),,,,,,38
74,,,Türkiye,HusoTM,36(#32),,,,,,,,,,36
75,,,France,Holo099,,,,,32(#33),,,,,,32
76,,,Poland,keyTM,,18(#48),,10(#56),,,,,,,28
77,,,Poland,Tomczan.,,,28(#38),,,,,,,,28
78,,,Italy,AwayFridish,,,18(#47),,10(#55),,,,,,28
79,,,France,Haedra.,,,26(#39),,,,,,,,26
80,,,Slovakia,raizo_O,,22(#44),,,,,,,,,22
81,,,Italy,Kurisu-tina_,,,16(#49),6(#59),,,,,,,22
82,,,Lithuania,AurisTFG,,,,,22(#43),,,,,,22
83,,,Poland,Narcorek,,8(#58),6(#59),,6(#59),,,,,,20
84,,,Portugal,PauLL__,,,20(#46),,,,,,,,20
85,,,France,linkTM_,,,,20(#46),,,,,,,20
86,,,France,Dark.BS,,,,,20(#45),,,,,,20
87,,,Germany,purple_tm,18(#47),,,,,,,,,,18
88,,,France,Panda.TM.,8(#57),,10(#56),,,,,,,,18
89,,,Hungary,Ricso5,,,,18(#48),,,,,,,18
90,,,Belgium,SkandeaR,,,,,18(#48),,,,,,18
91,,,Germany,oNioTM,,16(#49),,,,,,,,,16
92,,,New Zealand,baiwack,,2(#64),,14(#52),,,,,,,16
93,,,Israel,TaMaR...,,,,16(#49),,,,,,,16
94,,,Italy,Bobo247_,,,,,16(#50),,,,,,16
95,,,United States,Liquid.v2,,12(#53),,,,,,,,,12
96,,,Sweden,Brinkenn,,,12(#53),,,,,,,,12
97,,,France,EnerValencia,8(#58),,,,,,,,,,8
98,,,Netherlands,Javzo,6(#60),,,,,,,,,,6
99,,,France,chamow,,6(#60),,,,,,,,,6
100,,,India,Spark.__.,4(#62),,,,,,,,,,4
101,,,Norway,Intax,,4(#61),,,,,,,,,4
102,,,France,REZAAISBACK,2(#63),,,,,,,,,,2
103,,,Poland,Demotivator13,,2(#63),,,,,,,,,2
104,,,World,propanoia,,,,,2(#63),,,,,,2
105,,,Portugal,watson.,,,,,2(#64),,,,,,2
